ra,dec,class,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroRad_r,extinction_r
203.526935000033,0.0289145014916027,Galaxy,23.82091,22.18077,20.49201,19.61148,19.06928,22.24821,20.86811,19.24876,18.29005,17.8934,4.082229,0.08482185
203.588210576294,0.0910847730879858,Galaxy,20.33532,19.22315,18.46053,17.94893,17.64156,19.34147,18.09414,17.27127,16.8243,16.5597,4.080207,0.07942056
204.427328237585,0.200774541627899,Galaxy,21.58443,19.62494,18.40884,18.05651,17.75496,20.87331,18.65188,17.49309,17.05139,16.70955,3.596756,0.0737924
204.44636020545,0.414109457776088,Galaxy,21.30049,19.38594,18.56281,18.12126,17.83703,20.35607,18.62731,17.74053,17.34658,17.03863,2.779952,0.06916498
204.459840422101,0.723013542120893,Star,20.04318,18.76218,18.76723,18.84081,18.91176,19.96415,18.76776,18.824,18.91342,18.95282,1.586486,0.07258068
205.193443722891,1.22043640697218,Star,18.22902,17.13191,17.10695,17.13877,17.22732,18.25492,17.15693,17.13954,17.19273,17.24361,1.331128,0.07155131
205.209241766278,0.851938194492374,Star,19.99991,19.14813,18.83717,18.73191,18.65332,20.08289,19.16994,18.87738,18.78503,18.71557,1.213678,0.07912084
206.301952500724,0.108113005472394,Galaxy,21.23173,19.17283,18.20986,17.75744,17.41259,20.24717,17.83767,16.84736,16.40379,16.11825,4.598711,0.07468785
206.303614005152,0.108362611149863,Galaxy,23.61464,21.93459,20.18354,19.54311,19.16363,23.59016,21.86033,19.87575,19.22736,18.97097,1.465959,0.07466015
206.908117039148,1.23867804949431,Galaxy,20.73487,19.24079,18.7118,18.17992,17.80693,19.11795,17.92036,17.32168,16.95974,16.78393,4.221124,0.07178423
206.914680557369,1.71185984417028,Galaxy,19.54931,18.88094,18.91407,18.52692,18.24107,18.91982,18.22124,17.96042,17.56567,17.5466,2.137742,0.07285538
202.220727985075,1.09448941109788,Quasar,21.88118,20.869,20.7698,20.70891,20.52693,21.9684,20.94527,20.79537,20.94116,20.48132,1.189997,0.07837649
202.259726641225,1.90008154675394,Galaxy,22.09506,20.16059,19.23394,18.70599,18.0249,19.79538,17.96703,16.97516,16.458,16.07042,6.894605,0.07805695
205.372663123957,1.09943249156549,Galaxy,23.30887,21.35641,19.75606,19.15591,18.8343,26.01804,20.20257,18.79353,18.20759,17.72705,3.386441,0.09127877
206.411701665887,1.50331268724085,Star,18.85092,17.91806,17.60848,17.49516,17.46278,18.90388,17.96442,17.63503,17.52393,17.52684,1.120488,0.07917816
206.881331279316,0.238174413126564,Galaxy,23.08527,21.90489,20.78641,19.90396,19.25612,21.50385,21.00749,19.85639,19.0247,18.35356,2.41416,0.08067267
202.042717643212,0.196591168165169,Galaxy,22.49896,20.83482,19.79703,19.38346,19.16068,19.73314,18.40362,17.6003,17.24362,17.44098,6.297657,0.07104466
203.045289108046,0.735628143835914,Galaxy,22.05968,21.23294,20.83982,20.21209,20.08969,20.88026,20.24428,19.75633,19.23512,19.16737,3.324111,0.07206793
203.075455143124,1.24669382838915,Star,16.9078,15.70115,15.56551,15.55338,15.56029,16.92078,15.82491,15.62428,15.59199,15.60305,1.336119,0.07708115
203.088807111526,1.89708477979954,Galaxy,20.91111,18.81823,18.08218,17.72442,17.2726,19.62749,17.86009,16.98076,16.58499,16.24008,3.292736,0.06604964
202.515898546605,0.299826784389686,Galaxy,22.11414,20.66171,20.52491,20.12046,20.41846,21.78225,20.05506,19.40104,19.18191,19.83785,2.248576,0.07076739
202.528638137237,0.979221617115126,Star,20.35802,20.26955,20.50639,20.82102,21.04768,20.23149,20.15545,20.22538,20.51691,20.46129,2.121444,0.07224835
202.619730285467,1.26904381128833,Galaxy,20.84764,19.15236,18.49201,18.00073,17.50348,18.85616,16.96199,16.21115,15.77998,15.78055,7.959443,0.08730272
202.6308328771,1.70688060359182,Galaxy,20.80402,19.61125,18.97433,18.45956,18.09511,19.71222,18.39618,17.50484,17.06446,16.81837,3.773676,0.06502798
